Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Substance,Significant,What Happened Category
INC2018-104,Operation Beyond Design Limits,08/31/2018,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-105,Operation Beyond Design Limits,09/01/2018,The community of Prophet River,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-106,Operation Beyond Design Limits,09/01/2018,The community of Prophet River is 11.8 kM from this location.,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-107,Operation Beyond Design Limits,09/01/2018,The community of Prophet River is 12.6 kM form this location,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-108,Operation Beyond Design Limits,09/01/2018,The community of Prophet River is 15.5 kM form this location ,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-109,Operation Beyond Design Limits,09/01/2018,The community of Prophet River is 16.7 kM from this location ,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-114,Operation Beyond Design Limits,09/10/2018,The community of Prophet River is 5.2 kM from this location.,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-121,Fire,09/19/2018,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,External Interference
INC2018-123,Operation Beyond Design Limits,09/20/2018,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-125,Fire,09/21/2018,1300,British Columbia,Spectra Energy Midstream Canada Partner Corporation,Not Applicable,No,External Interference
INC2018-142,"Explosion, Fire, Release of Substance",10/09/2018,Prince George,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,Yes,Corrosion and Cracking
INC2018-151,Operation Beyond Design Limits,10/18/2018,The community of Prophet River is 9 kMs for this location,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-153,Fire,10/20/2018,Fort St John,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2018-157,Operation Beyond Design Limits,10/24/2018,The rural community of Buick Creek is 5.95 km NW of this location,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-159,Operation Beyond Design Limits,10/30/2018,"Moyie, BC",British Columbia,Foothills Pipe Lines Ltd.,Not Applicable,No,"External Interference, Natural Force Damage"
INC2018-169,Operation Beyond Design Limits,11/28/2018,The community of Halfway River is 7.7 kMs from this location. ,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-170,Operation Beyond Design Limits,11/28/2018,The community of Blueberry River is 7.5 kMs from this location.,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-172,Operation Beyond Design Limits,11/30/2018,The Prophet River First Nations community is 15.6 km from this location.,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-173,Operation Beyond Design Limits,11/30/2018,The Prophet River First Nations community is 16.5 km from this location. ,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-177,Release of Substance,12/04/2018,Chetwynd BC,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,External Interference
INC2018-182,Release of Substance,12/13/2018,Chetwynd British Columbia,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,Yes,External Interference
INC2018-183,Release of Substance,12/13/2018,Chetwynd British Columbia,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,External Interference
INC2018-187,Release of Substance,12/31/2018,Quesnel,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,No,External Interference
INC2019-001,Release of Substance,01/03/2019,"Taylor, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,No,"Corrosion and Cracking, Defect and Deterioration"
INC2019-005,Fire,01/10/2019,Fort St John,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2019-019,Serious Injury (CER or TSB),02/05/2019,"Wonowon, British Columbia",British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2019-020,Fire,02/06/2019,Chetwynd ,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Other Causes"
INC2019-026,Fire,02/22/2019,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2019-030,Fire,03/05/2019,"Wonowon, BC",British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,No,Equipment Failure
INC2019-032,Operation Beyond Design Limits,03/14/2019,The city of Merritt is 16.5 km away,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,"External Interference, Natural Force Damage"
INC2019-034,Fire,03/18/2019,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"Equipment Failure, External Interference, Incorrect Operation"
INC2019-036,Fire,03/21/2019,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2019-037,Adverse Environmental Effects,03/26/2019,Fort St Johns,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,Yes,"External Interference, Other Causes"
INC2019-048,Release of Substance,05/01/2019,Prince George,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,No,Defect and Deterioration
INC2019-065,Fire,05/30/2019,Hasler Flats,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,"Corrosion and Cracking, Equipment Failure"
INC2019-074,Fire,06/18/2019,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,External Interference
INC2019-079,Operation Beyond Design Limits,07/08/2019,Surrey,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,Natural Force Damage
INC2019-080,Explosion,07/10/2019,City of Kamloops,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2019-089,Release of Substance,08/09/2019,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,Incorrect Operation
INC2019-092,"Release of Substance, Adverse Environmental Effects",08/17/2019,Blue River,British Columbia,Trans Mountain Pipeline ULC,Drilling Fluid,Yes,"External Interference, Incorrect Operation"
INC2019-096,Fire,08/28/2019,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,"External Interference, Incorrect Operation"
INC2019-107,Operation Beyond Design Limits,10/05/2019,Wonowon,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2019-118,Operation Beyond Design Limits,10/26/2019,"Elko, BC",British Columbia,Foothills Pipe Lines Ltd.,Not Applicable,No,Natural Force Damage
INC2019-133,Fire,12/15/2019,"Wonowon, BC",British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2020-009,Serious Injury (CER or TSB),01/31/2020,"Quesnel, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2020-010,Serious Injury (CER or TSB),01/31/2020,Savona,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2020-014,Serious Injury (CER or TSB),02/04/2020,Fort St. John,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,Yes,External Interference
INC2020-034,Fire,03/30/2020,Ft. St. John ,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2020-042,Operation Beyond Design Limits,04/25/2020,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2020-051,Fire,05/27/2020,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-052,Fire,05/29/2020,Burnaby ,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-057,Release of Substance,06/13/2020,Abbotsford,British Columbia,Trans Mountain Pipeline ULC,Crude Oil - Sweet,No,"Defect and Deterioration, Equipment Failure"
INC2020-063,Operation Beyond Design Limits,06/18/2020,Gosnell,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,Natural Force Damage
INC2020-065,Release of Substance,06/25/2020,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,No,Defect and Deterioration
INC2020-072,Fire,07/12/2020,Burnaby ,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-077,Fire,07/28/2020,Abbotsford,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-083,Operation Beyond Design Limits,08/08/2020,"Rosedale, BC",British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,Natural Force Damage
INC2020-086,Operation Beyond Design Limits,08/14/2020,"Merritt is the nearest location, but is over 60km away.",British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,Natural Force Damage
INC2020-087,Fire,08/17/2020,Kamloops,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-091,Fire,08/31/2020,Burnaby ,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-104,Serious Injury (CER or TSB),10/03/2020,"90,280",British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,Incorrect Operation
INC2020-105,Fire,10/07/2020,Burnaby BC ,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,Other Causes
INC2020-117,Operation Beyond Design Limits,10/30/2020,"Rolla, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2020-119,Operation Beyond Design Limits,11/01/2020,Savona,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2020-124,Fire,11/10/2020,Burnaby ,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"Equipment Failure, External Interference"
INC2020-131,Release of Substance,11/22/2020,"Wonowon, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,Yes,Incorrect Operation
INC2020-138,Serious Injury (CER or TSB),12/15/2020,Burnaby ,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2021-002,Operation Beyond Design Limits,01/13/2021,Wonowon,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2021-010,Release of Substance,01/30/2021,"Taylor, BC",British Columbia,Westcoast Energy Inc.,Natural Gas - Sweet,Yes,Defect and Deterioration
INC2021-012,Fire,02/01/2021,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,Incorrect Operation
INC2021-018,Fire,02/06/2021,"Chetwynd, BC",British Columbia,Westcoast Energy Inc.,Not Applicable,No,"Equipment Failure, Incorrect Operation"
INC2021-019,Fire,02/08/2021,Wonowon,British Columbia,Westcoast Energy Inc.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-028,Release of Substance,02/23/2021,"Dawson Creek, BC",British Columbia,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,Incorrect Operation
INC2021-031,Fire,02/25/2021,Kamloops,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"Equipment Failure, Incorrect Operation"
INC2021-032,Fire,02/25/2021,Kamloops,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-037,Explosion,03/01/2021,"Wonowon, BC",British Columbia,Westcoast Energy Inc.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-041,Fire,03/09/2021,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-049,Fire,03/29/2021,Hope,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-054,Fire,04/14/2021,Kamloops,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-058,Operation Beyond Design Limits,04/27/2021,Rolla,British Columbia,Westcoast Energy Inc.,Not Applicable,No,Natural Force Damage
INC2021-065,Fire,05/10/2021,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"Defect and Deterioration, External Interference, Incorrect Operation"
INC2021-070,Fire,05/15/2021,Kamloops,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,External Interference
INC2021-071,Serious Injury (CER or TSB),05/16/2021,100,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,Incorrect Operation
INC2021-079,Serious Injury (CER or TSB),06/03/2021,0,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2021-080,Release of Substance,06/07/2021,Cranbrook,British Columbia,Foothills Pipe Lines Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2021-086,Operation Beyond Design Limits,06/21/2021,Prophet River,British Columbia,Westcoast Energy Inc.,Not Applicable,No,Natural Force Damage
INC2021-089,Serious Injury (CER or TSB),06/26/2021,Chilliwack,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2021-093,Operation Beyond Design Limits,07/03/2021,Valemount,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,Natural Force Damage
INC2021-098,Fire,07/09/2021,Coquitlam,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-110,Release of Substance,07/24/2021,"Taylor, BC",British Columbia,Westcoast Energy Inc.,Natural Gas - Sweet,Yes,External Interference
INC2021-122,Release of Substance,08/27/2021,Creston ,British Columbia,Foothills Pipe Lines (South B.C.) Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2021-125,Operation Beyond Design Limits,08/31/2021,Valemount,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,Natural Force Damage
INC2021-129,Fire,09/07/2021,1-10,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,External Interference
INC2021-131,Fire,09/07/2021,Hope,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,Equipment Failure
INC2021-133,Fire,09/09/2021,Coquitlam,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-141,Adverse Environmental Effects,09/19/2021,Hope BC,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,To be determined
INC2021-144,Serious Injury (CER or TSB),09/24/2021,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2021-152,Fire,10/13/2021,Abbotsford,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,Equipment Failure
INC2021-153,Serious Injury (CER or TSB),10/13/2021,0,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,To be determined
INC2021-164,Adverse Environmental Effects,11/09/2021,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,To be determined
INC2021-171,Operation Beyond Design Limits,11/15/2021,Hope,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-172,Operation Beyond Design Limits,11/16/2021,Kingsvale,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-174,Operation Beyond Design Limits,11/16/2021,Kingsvale,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-175,Operation Beyond Design Limits,11/17/2021,Hope,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-176,Operation Beyond Design Limits,11/17/2021,Hope,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-178,Operation Beyond Design Limits,11/18/2021,Brookmere,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-179,Operation Beyond Design Limits,11/18/2021,Merritt,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-182,Adverse Environmental Effects,11/19/2021,Coquitlam,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,To be determined
INC2021-183,Operation Beyond Design Limits,11/20/2021,Coldwater,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-184,Operation Beyond Design Limits,11/20/2021,Brookmere,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-185,Operation Beyond Design Limits,11/20/2021,Brookmere,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-188,Operation Beyond Design Limits,11/22/2021,Hope,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-189,Operation Beyond Design Limits,11/22/2021,Merrit,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-190,Operation Beyond Design Limits,11/22/2021,Merrit,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-191,Operation Beyond Design Limits,11/23/2021,Kingsvale,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-192,Operation Beyond Design Limits,11/23/2021,Brookmere,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-193,Operation Beyond Design Limits,11/23/2021,Brookmere,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-194,Operation Beyond Design Limits,11/23/2021,Hope,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-196,Operation Beyond Design Limits,11/24/2021,Merritt,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-198,Operation Beyond Design Limits,11/24/2021,Kingsvale,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-200,Operation Beyond Design Limits,11/30/2021,Hope,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-201,Operation Beyond Design Limits,11/30/2021,Merritt,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-204,Operation Beyond Design Limits,12/02/2021,Hope,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-207,Operation Beyond Design Limits,12/07/2021,Othello,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-209,Operation Beyond Design Limits,12/08/2021,Brookmere,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,To be determined
INC2021-212,Operation Beyond Design Limits,12/09/2021,Merritt,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2021-213,Fire,12/10/2021,50 people. ,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-215,Adverse Environmental Effects,12/14/2021,Hope BC,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,To be determined
INC2021-220,Operation Beyond Design Limits,12/18/2021,Hope,British Columbia,Westcoast Energy Inc.,Not Applicable,No,To be determined
INC2008-001,Release of Substance,01/02/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Corrosion and Cracking
INC2008-004,Release of Substance,01/23/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Equipment Failure
INC2008-027,Release of Substance,03/14/2008,Rapid City,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
INC2008-043,Fire,05/01/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Not Applicable,No,External Interference
INC2008-052,Fire,05/21/2008,Emerson,Manitoba,TransCanada PipeLines Limited,Not Applicable,No,Equipment Failure
INC2008-060,Release of Substance,06/12/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Equipment Failure
INC2008-095,Release of Substance,09/26/2008,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
INC2008-098,Release of Substance,10/16/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,External Interference
INC2008-103,Release of Substance,11/04/2008,Reynolds,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Equipment Failure
INC2008-114,Release of Substance,12/02/2008,Winnipeg,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,External Interference
INC2008-120,Release of Substance,12/09/2008,Winnipeg,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Equipment Failure
INC2009-019,Release of Substance,03/05/2009,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Lube Oil,No,Defect and Deterioration
INC2009-054,Release of Substance,06/28/2009,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Defect and Deterioration
INC2009-096,Release of Substance,09/13/2009,Ste. Anne,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
INC2009-103,Release of Substance,09/18/2009,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
INC2009-105,Release of Substance,09/22/2009,Glenboro,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Defect and Deterioration
INC2009-107,Fire,09/24/2009,Brookdale,Manitoba,TransCanada PipeLines Limited,Not Applicable,No,Equipment Failure
INC2009-130,Serious Injury (CER or TSB),10/17/2009,Not specified,Manitoba,Enbridge Pipelines Inc.,Not Applicable,Yes,Incorrect Operation
INC2009-133,Serious Injury (CER or TSB),11/17/2009,Winkler,Manitoba,Enbridge Pipelines Inc.,Not Applicable,Yes,Incorrect Operation
INC2009-153,Serious Injury (CER or TSB),04/12/2012,Manitou,Manitoba,Enbridge Pipelines Inc.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2009-154,Serious Injury (CER or TSB),04/12/2012,Brandon,Manitoba,Enbridge Pipelines Inc.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2009-155,Serious Injury (CER or TSB),04/12/2012,Winkler,Manitoba,Enbridge Pipelines Inc.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2010-052,Release of Substance,05/25/2010,Brandon,Manitoba,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Propane,No,Defect and Deterioration
INC2010-127,Fire,11/15/2010,Portage La Prairie,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,Equipment Failure
INC2011-087,Release of Substance,06/05/2011,Niverville,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
INC2011-125,Fire,08/09/2011,Rapid City,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,"Equipment Failure, External Interference"
INC2011-175,Operation Beyond Design Limits,11/24/2011,Portage La Prairie,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,To be determined
INC2011-180,Release of Substance,12/07/2011,Glenboro,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Equipment Failure
INC2012-040,Release of Substance,03/01/2012,Brandon,Manitoba,TransCanada PipeLines Limited,Fuel Gas,No,Equipment Failure
INC2012-118,Fire,09/07/2012,Glenboro,Manitoba,Enbridge Pipelines Inc.,Not Applicable,No,"Equipment Failure, Incorrect Operation"
INC2012-131,Release of Substance,09/27/2012,Rapid City,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,"Defect and Deterioration, Equipment Failure"
INC2012-137,Release of Substance,10/02/2012,Rapid City,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Defect and Deterioration
INC2012-138,Release of Substance,10/02/2012,Carberry,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Defect and Deterioration
INC2013-031,Release of Substance,02/21/2013,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Equipment Failure
INC2013-041,Release of Substance,03/08/2013,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Equipment Failure
INC2013-112,Release of Substance,07/17/2013,Ile des Ch�nes,Manitoba,TransCanada PipeLines Limited,Lube Oil,No,"Corrosion and Cracking, Incorrect Operation"
INC2013-119,Release of Substance,08/03/2013,Cromer,Manitoba,Enbridge Pipelines Inc.,Natural Gas Liquids,No,"Equipment Failure, External Interference"
INC2013-126,Operation Beyond Design Limits,08/28/2013,Cromer,Manitoba,Enbridge Pipelines Inc.,Not Applicable,No,External Interference
INC2013-158,Fire,11/22/2013,Saint Leon,Manitoba,Enbridge Pipelines Inc.,Not Applicable,No,Defect and Deterioration
INC2014-006,"Fire, Release of Substance",01/11/2014,Ile des Ch�nes,Manitoba,TransCanada PipeLines Limited,Lube Oil,No,Equipment Failure
INC2014-076,Release of Substance,05/28/2014,Not specified,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Incorrect Operation
INC2015-023,Release of Substance,03/03/2015,Glenboro,Manitoba,Enbridge Pipelines Inc.,Natural Gas Liquids,No,"External Interference, Incorrect Operation"
INC2015-029,Release of Substance,03/17/2015,Plum Coulee,Manitoba,Enbridge Pipelines Inc.,Natural Gas Liquids,No,"External Interference, Incorrect Operation"
INC2015-037,Fire,04/10/2015,"Rapid City, Manitoba",Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,Equipment Failure
INC2015-038,Operation Beyond Design Limits,04/16/2015,Cromer,Manitoba,Enbridge Pipelines Inc.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2015-053,Fire,05/11/2015,Glenboro Manitoba,Manitoba,Enbridge Pipelines Inc.,Not Applicable,No,External Interference
INC2015-109,Release of Substance,09/16/2015,"Cromer, MB",Manitoba,Enbridge Pipelines Inc.,Natural Gas Liquids,No,External Interference
INC2015-118,Release of Substance,10/16/2015,"Cromer, MB",Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,"External Interference, Incorrect Operation"
INC2015-126,Operation Beyond Design Limits,11/06/2015,"Gretna, MB",Manitoba,Enbridge Pipelines Inc.,Not Applicable,No,External Interference
INC2015-144,Release of Substance,12/11/2015,Ile Des Chene,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,"Corrosion and Cracking, Incorrect Operation"
INC2016-024,Release of Substance,02/14/2016,Cromer,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Incorrect Operation
INC2016-105,Release of Substance,09/01/2016,Ile des Chenes,Manitoba,TransCanada PipeLines Limited,Lube Oil,No,Corrosion and Cracking
INC2016-138,Explosion,11/23/2016,"Carman, MB",Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,"External Interference, Other Causes"
INC2017-037,Fire,03/08/2017,Brandon,Manitoba,TransCanada PipeLines Limited,Not Applicable,No,Defect and Deterioration
